Título;Descripción;Temática;Categoría;Fecha de inicio;Fecha de fin;Hora inicio;Hora fin;Precio;Colectivo destinatario;Destinatarios;Imagen del evento;Imagen del evento ampliada;Lugar de celebración;Latitud;Longitud;ID Localidad;Nombre Localidad;Código provincia;Nombre Provincia;Calle;CP;Código de la biblioteca;Evento en biblioteca;ID evento;Enlace al contenido;Posicion
'El barbero de Picasso' (AMOR AL TEATRO);"<p><strong>El barbero de Picasso </strong>es una comedia de personajes que viven acaloradamente, lo que para cualquiera podría ser una locura.</p> 
<p>Esto pasa porque son genuinamente españoles.</p> 
<p>Esa barbería que describe Borja en El barbero de Picasso es un trozo anárquico de España perdido al sur de Francia.</p> 
<p>Picasso y el Barbero, dentro de este microcosmos, son unos españoles que sienten nostalgia de una patria que ya no existe ni existirá. Una patria que construyen en sus discusiones y costumbres. En sus peleas sobre si un torero es mejor o peor o si una cabra es el regalo adecuado al genio de Picasso o alguien intenta reírse de él.</p> 
<p>Un lugar, y un tiempo, donde ser comunista es aún una posibilidad.</p> 
<p>Esa barbería es un mundo lleno de pasiones y contradicciones que sólo existe entre esas tijeras y brochas.</p> 
<p>Cruzando sus puertas, en el exterior, Francia, el país de la libertad. Pero un país que nunca será el de este barbero y este pintor. Porque ya no son ni franceses ni españoles.</p> 
<p>Son los ciudadanos de esa patria inventada que construye cualquier desterrado.</p> 
<p>Una España que sólo existe cuando el barbero y el pintor discuten sobre ella.</p> 
<p>Un lugar que no podrán habitar sin el otro.</p> 
<p><strong>Género: Teatro. Estilo: Cómico. Duración: 80 min.</strong></p> 
<p><strong>Espectáculo incluido en la programación de la Red de Teatros de Castilla y León.</strong></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/311/399/El%20barbero%20de%20Picasso,8.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='El barbero de Picasso'></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/311/399/El%20barbero%20de%20Picasso,10.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='El barbero de Picasso'></p>";Teatro títeres monólogo;Espectáculos;2026-04-17;;20:30;;16 euros y descuentos 30% Y abono.;;Adultos;"https://datosabiertos.jcyl.es/web/jcyl/binarios/311/399/El%20barbero%20de%20Picasso,6.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/311/399/El%20barbero%20de%20Picasso,5.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Auditorio Ciudad de León;42.6024412539177;-5.579380989074707;1179297860755;León;24;León;Avenida Reyes Leoneses, 4;24008;;NO;1285607372315;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285607372315/Comunicacion;42.6024412539177, -5.579380989074707
'El bosque de las emociones' (NATH TEATRO);"<p>En un rincón mágico, el Bosque de las Emociones está perdiendo su luz: una nube gris lo cubre todo, trayendo contaminación ambiental y emocional.</p> 
<p>Nico, curioso y valiente, es llamado por los guardianes del bosque para salvarlo. No estará solo: los niños y niñas del público se convierten en sus aliados, participando activamente en cada decisión.</p> 
<p>Entre canciones en directo, trucos de magia y la sabiduría de las marionetas, conocerán a personajes míticos como La Vieja del Monte, el Rómulo, el sabio roble del bosque y la Mariposa salerosa o la pulga Saltarina.</p> 
<p>Cada encuentro revela una lección: nuestras emociones y nuestras acciones pueden transformar el mundo.</p> 
<p>Un espectáculo interactivo, lleno de fantasía y valores, que une diversión, tradición y un poderoso mensaje sobre cuidar el planeta y nuestro corazón.</p> 
<p>Innovación técnica al servicio de la interacción</p> 
<p>En El Bosque de las Emociones, desde NATH Teatro hemos desarrollado una propuesta técnica que permite gestionar toda la iluminación y efectos desde el mismo escenario. Gracias al uso de programas y tecnología sofisticada, el actor controla en directo las luces y ambientes sin intermediarios, logrando una sincronización perfecta con la acción escénica.</p> 
<p>Esta autonomía técnica refuerza la conexión con el público, ya que la interacción se vuelve más fluida, inmediata y mágica. Al poder adaptar la atmósfera en tiempo real según las reacciones y decisiones de los espectadores, el espectáculo gana en dinamismo y autenticidad, creando una experiencia única en cada función.</p> 
<p></p> 
<p>Disponemos de dosier del espectáculo.</p> 
<p><strong>Género: Teatro. Estilo: Cómico. Duración: 60 min.</strong></p> 
<p><strong>Espectáculo incluid en la programación de Circuitos Escénicos de Castilla y León.</strong></p> 
<p></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/113/854/El%20bosque%20de%20las%20emociones,2.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='El bosque de las emociones'></p>";Teatro títeres monólogo;Espectáculos;2026-03-28;;19:00;;3euros. Menores de 13 gratis;;Público familiar;"https://datosabiertos.jcyl.es/web/jcyl/binarios/113/854/El%20bosque%20de%20las%20emociones,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/113/854/El%20bosque%20de%20las%20emociones.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Teatro Auditorio Municipal (Cubillos del Sil);42.62396518062925;-6.566873788833618;1179297831508;Cubillos del Sil;24;León;C/ El Bahillo, s/n;24492;;NO;1285603953596;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285603953596/Comunicacion;42.62396518062925, -6.566873788833618
'El Principito Freak Show' (ANIMARTS);"<p><strong>El Principito Freak Show</strong>es una adaptación del famoso libro de Antoine de Saint-Exupéry. Es un gran viaje por los universos del Principito en el que irás descubriendo a los divertido personajes, aparentemente un poco absurdos, pero de los que poco a poco conocerás su corazón mientras viajas con ellos por otros planetas.</p> 
<p>Este espectáculo es una comedia, imparte valores a los más pequeños de la casa pormedio de la diversión, el humor, el juego y sus peculiares personajes. Los niños disfrutarán de una obra con la que aprenderán y los padres lo hacen a través de un cuento, que cada vez que lo lees entiende y disfrutas de manera diferente.</p> 
<p><strong>Género: Teatro. Estilo: Musical. Duración: 50 min.</strong></p> 
<p><strong>Espectáculo incluido en la programación de Circuitos Escénicos de Castilla y León.</strong></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/406/789/El%20Principito%20Freak%20Show,10.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='El Principito Freak Show'></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/406/789/El%20Principito%20Freak%20Show,12.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='El Principito Freak Show'></p>";Teatro títeres monólogo;Espectáculos;2026-04-21;;11:30;;Gratuita.;;Público familiar;"https://datosabiertos.jcyl.es/web/jcyl/binarios/827/823/El%20Principito%20Freak%20Show,2.png?blobheader=image%2Fgif&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/827/823/El%20Principito%20Freak%20Show,1.png?blobheader=image%2Fgif&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Casa de las Culturas (Matallana de Torío);42.847962;-5.52273;1179297867625;Matallana de Torío;24;León;Avenida Constitución 17;24830;;NO;1285610681109;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285610681109/Comunicacion;42.847962, -5.52273
'Esencia' (ENTRECAJAS PRODUCCIONES TEATRALES);"<p>Pierre y Cecil, dos viejos amigos, se reencuentran después de muchos años. Su conversación, entremezclada con recuerdos y reflexiones, está atravesada por la espera de un misterioso autor que nunca va a llegar. &iquest;O quizá ha estado presente desde el principio?</p> 
<p>Esencia es una de las obras más enigmáticas de Ignacio García May, un laberinto de percepciones donde la realidad se tambalea y se torna difusa. Una invitación a la reflexión y al cuestionamiento de nuestras propias certezas, una exploración sobre la realidad que nos rodea.</p> 
<p>Esencia es la inexistencia misma de lo real.</p> 
<p><strong>Género: Teatro. Estilo: Dramático. Duración: 80 min.</strong></p> 
<p><strong>Espectáculo incluido en la programación de la Red de Teatros de Castilla y León.</strong></p> 
<p></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/178/130/Esencia,8.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='Esencia'></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/178/130/Esencia,10.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='Esencia'></p>";Teatro títeres monólogo;Espectáculos;2026-03-25;;20:30;;20 euros y descuentos;;Adultos;"https://datosabiertos.jcyl.es/web/jcyl/binarios/178/130/Esencia,6.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/178/130/Esencia,5.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Auditorio Ciudad de León;42.6024412539177;-5.579380989074707;1179297860755;León;24;León;Avenida Reyes Leoneses, 4;24008;;NO;1285606601314;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285606601314/Comunicacion;42.6024412539177, -5.579380989074707
'La bruja Kalambres' (INNOVARTE CREACIONES ARTISTICAS);"<p><strong>LA BRUJA KALAMBRES es descendiente de generaciones de brujas eléctricas</strong>.</p> 
<p>Una tarde de campo es sorprendida por una tormenta y un rayo será el motor de cambio en su vida de bruja.</p> 
<p><strong>Se matriculará en la Universidad de Brujiston </strong>para saber usar, sin peligro, el don que ha heredado de sus antepasadas.</p> 
<p>En la Universidad se dará cuenta de que tiene otro don, el de la música. Algo extraño y diferente en el mundo de las brujas. <strong>Casiopea</strong>, la rectora de la Universidad, será la encargada de enseñar a <strong>Kalambres</strong> a usar correctamente sus poderes electro musicales. Pero la bruja estudiante es caótica y <strong>Casiopea</strong> se verá obligada a expulsar a <strong>Kalambres</strong> de la Universidad.</p> 
<p>&iquest;Será <strong>Kalambres</strong> capaz de reconocer sus errores y corregirlos?</p> 
<p>&iquest;Podrá volar con su escoba mágica y repartir por el mundo sus poderes electro musicales?</p> 
<p>&iquest;Es la bruja <strong>Kalambres </strong>una mujer científica?</p> 
<p>&iquest;Puede una bruja cantar?</p> 
<p>&iquest;Nos podemos reír con una Bruja?</p> 
<p>&iquest;Son las brujas malas y feas?</p> 
<p>Estas y otras preguntas tendrán respuestas en '<strong>La Bruja Kalambres'</strong>.</p> 
<p><strong>Teatro cómico musical</strong>: Para niños y niñas de 5 a 9 años y sus familias.</p> 
<p><strong>Técnicas:</strong> imagen multimedia, canciones en directo, danza y clown.</p> 
<p>Ver <strong>más información</strong> de la obra en archivo adjunto.</p> 
<p></p> 
<p><strong>Género: Teatro. Estilo: Musical. Duración: 65 min.</strong></p> 
<p><strong>Espectáculo incluido en la programación de Circuitos Escénicos de Castilla y León.</strong></p><p><strong>Web del evento</strong>: https://www.innovarte.eu/la-bruja-kalambres</p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/421/866/LA%20BRUJA%20KALAMBRES,8.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='LA BRUJA KALAMBRES'></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/421/866/LA%20BRUJA%20KALAMBRES,10.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='LA BRUJA KALAMBRES'></p>";Teatro títeres monólogo;Espectáculos;2026-05-09;;19:00;;3 euros . Los menores de trece años gratis.;;Público familiar;"https://datosabiertos.jcyl.es/web/jcyl/binarios/421/866/LA%20BRUJA%20KALAMBRES,6.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/421/866/LA%20BRUJA%20KALAMBRES,5.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Teatro Auditorio Municipal (Cubillos del Sil);42.62396518062925;-6.566873788833618;1179297831508;Cubillos del Sil;24;León;C/ El Bahillo, s/n;24492;;NO;1285589320830;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285589320830/Comunicacion;42.62396518062925, -6.566873788833618
'Lo de la risa' (SERGIO OLVIDADO);"<p></p> 
<p><strong>LO DE LA RISA</strong></p> 
<p>Espectáculo de comedia que avanza por diferentes temas desde las costumbres rurales a las extrañas convenciones sociales con un divertido sarcasmo que han comparado con monologuistas de renombre como Goyo Jiménez o el mismísimo Gila.</p> 
<p><em><strong>La forma de Sergio Olvidado de contar las pequeñeces de la vida con su estilo personal y texto propio hacen que la obra envuelva al público sumergiéndolo en carcajadas y aplausos.</strong></em> Como extra al monólogo Sergio Olvidado <strong>incorpora la guitarra </strong>para hacer al público participe y además <strong>lanzar 'pullas' al mundo contemporáneo actual.</strong></p> 
<p>Con tintes de humor clásico y acido 'Lo de la risa' ofrece al espectador una hora y media de buen humor y además se irán a casa sabiendo que han disfrutado de un espectáculo de primer orden y que ya han conocido cientos de personas en toda España.</p> 
<p></p> 
<p><strong>Género: Teatro. Estilo: Cómico. Duración: 60 min.</strong></p> 
<p></p> 
<p><strong>Espectáculo incluido en la programación de Circuitos Escénicos de Castilla y León.</strong></p><p><strong>Web del evento</strong>: https://www.lafactoriadelshow.com/sergio-olvidado/</p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/395/527/FOTO%20DE%20LO%20DE%20LA%20RISA,0.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='FOTO DE LO DE LA RISA'></p>";Teatro títeres monólogo;Espectáculos;2026-03-28;;20:30;;Consultar en el ayuntamiento.;;Adultos;"https://datosabiertos.jcyl.es/web/jcyl/binarios/14/490/CARTEL%20DE%20LO%20DE%20LA%20RISA,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/14/490/CARTEL%20DE%20LO%20DE%20LA%20RISA.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Auditorio Municipal (Benavides de Órbigo);42.50201070800102;-5.89386126099248;1179297776815;Benavides de Órbigo;24;León;C/ Conde Luna;24280;;NO;1285607940540;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285607940540/Comunicacion;42.50201070800102, -5.89386126099248
'Mihura, el último comediógrafo' (ENTRECAJAS PRODUCCIONES TEATRALES);"<p>&iquest;Quién no conoce a Miguel Mihura? &iquest;Quién no sabe que fue uno de los humoristas más importantes del Siglo XX? &iquest;Quién ha olvidado que su primera obra, Tres sombreros de copa, fue una de las precursoras del humor absurdo? &iquest;Quién desconoce que esta historia, en realidad, se trate de una autoficción? Miguel Mihura parece un señor que se ha puesto triste de tanto esperar el autobús, escribiría Fernando Vizcaíno Casas en una de las últimas entrevistas al dramaturgo en 1976. Y es que la vida de Miguel estuvo llena de desencantos, esperas, desamores, fracasos y algún que otro éxito que apareció casi al final de sus días. Un éxito, el de Tres sombreros de copa, que llegó cuando logró estrenarla veinte años después de haberla escrito. Una historia, la de su vida, que de una forma u otra siempre estuvo ligada a su primer texto. Ese que vivió, después escribió, trato de vender, desestimó, despreció, estrenó a regañadientes y por último le encumbró a formar parte la historia de la literatura dramática.</p> 
<p><strong>Género: Teatro. Estilo: Cómico. Duración: 120 min.</strong></p> 
<p><strong>Espectáculo incluido en la programación de la Red de Teatros de Castilla y León.</strong></p> 
<p></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/695/205/Mihura,2.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='Mihura, el último comediógrafo'></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/695/205/Mihura,4.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='Mihura, el último comediógrafo'></p>";Teatro títeres monólogo;Espectáculos;2026-03-27;;20:30;;16 euros;;Adultos;"https://datosabiertos.jcyl.es/web/jcyl/binarios/695/205/Mihura,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/695/205/Mihura.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Teatro Municipal Bergidum (Ponferrada);42.546535;-6.5891747;1179297888504;Ponferrada;24;León;Calle Ancha, 15;24400;;NO;1285606975743;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285606975743/Comunicacion;42.546535, -6.5891747
'Por voluntad propia' (PERIGALLO TEATRO);"<p>POR VOLUNTAD PROPIA</p> 
<p>Inmersos en una especie de limbo, en un universo de atrezo, en un desván abarrotado de posibilidades, dos personajes emprenden una lucha para deshacerse de su condición de 'cosa escrita', agarrar las riendas de su existencia y poder tomar decisiones por voluntad propia.</p> 
<p>Un baile entre la realidad y ficción, la esclavitud y la libertad, el miedo y el amor.</p> 
<p><strong>Género: Teatro. Estilo: Cómico. Duración: 90 min. </strong></p> 
<p><strong>Espectáculo incluido en la programación de la Red de Teatros de Castilla y León.</strong></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/851/502/Por%20voluntad%20propia,6.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='Por voluntad propia'></p>";Teatro títeres monólogo;Espectáculos;2026-05-23;;20:30;;10 euros;;Adultos;"https://datosabiertos.jcyl.es/web/jcyl/binarios/851/502/Por%20voluntad%20propia,4.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/851/502/Por%20voluntad%20propia,3.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Teatro Gullón;-6.05205;42.45574;1179297766764;Astorga;24;León;Calle Cortes Leonesas;24700;;NO;1285606994217;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285606994217/Comunicacion;-6.05205, 42.45574
'Reflejos' (DINAMIA TEATRO);"<p>Reflejos es una obra de Tatyana Galán que supone una reflexión, por momentos cómica y por momentos dramática, sobre el mundo en el que vivimos. Nos moveremos en la contradicción que supone un entorno urbano violento que nos pide que no paremos, que consumamos, y la necesidad que tenemos de conectar con un mundo más humano y natural.</p> 
<p>En este marco se mueve Isi, nuestra protagonista, sintiendo que necesita hacer un cambio en su vida, pero sin saber cómo ni de qué forma. Es entonces cuando comenzarán a desencadenarse una serie de acontecimientos que le servirán para tomar conciencia de la importancia de volver a sus raíces y vivir de otro modo.</p> 
<p>Reflejos surge de la experiencia de los distintos componentes de Dinamia Teatro que en buena parte hemos vivido muchos años en la gran ciudad y decidimos volver a una comarca como es el Bierzo. Aquí, y en muchos pueblos y pequeñas ciudades de Castilla y León a los que llevamos nuestro teatro, sentimos lo que es la España vaciada pensando en toda la riqueza y la potencialidad que tiene. Con Reflejos queremos poner frente al espejo estos dos mundos para ver qué es lo mejor que podemos tomar de cada uno.</p> 
<p><strong>Género: Teatro. Estilo: Dramático. Duración: 80 min.</strong></p> 
<p><strong>Espectáculo incluido en la programación de Circuitos Escénicos de Castilla y León.</strong></p> 
<p></p><p><strong>Web del evento</strong>: https://dinamiateatro.com/reflejos/</p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/948/47/Reflejos,8.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='Reflejos'></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/948/47/Reflejos,10.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='Reflejos'></p>";Teatro títeres monólogo;Espectáculos;2026-04-18;;19:00;;3euros. Menores de 13 años gratis.;;Adultos;"https://datosabiertos.jcyl.es/web/jcyl/binarios/948/47/Reflejos,6.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/948/47/Reflejos,5.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Teatro Auditorio Municipal (Cubillos del Sil);42.62396518062925;-6.566873788833618;1179297831508;Cubillos del Sil;24;León;C/ El Bahillo, s/n;24492;;NO;1285609149987;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285609149987/Comunicacion;42.62396518062925, -6.566873788833618
'Tributo a Miguel Bosé' (JAVIER RIOS);"<p><strong>Tributo a Miguel Bosé</strong> Un recorrido emocionante por los mejores temas de uno de los más icónicos cantantes.</p> 
<ul> 
<li>Bambu</li> 
<li>Amante Bandido</li> 
<li>Superman</li> 
<li>Sevilla</li> 
<li>Morena Mía</li> 
<li>Nena</li> 
<li>Te amaré</li> 
<li>Los chicos no lloran</li> 
<li>Como un lobo</li> 
<li>Olvídame tu</li> 
<li>Corazones</li> 
<li>Manos Vacías</li> 
<li>Linda</li> 
<li>Morir de amor</li> 
<li>Si tú no vuelves</li> 
<li>Creo en ti</li> 
<li>Hacer por hacer</li> 
<li>Don Diablo</li> 
<li>El hijo del capitán trueno</li> 
<li>Amigo</li> 
<li>Aire soy</li> 
</ul> 
<p><strong>Género: Música. Estilo: Contemporánea-pop. Duración: 90 min.</strong></p> 
<p><strong>Espectáculo incluido en la programación de Circuitos Escénicos de Castilla y León.</strong></p>";Concierto;Conciertos;2026-05-15;;20:00;;Gratuita.;;Adultos;"https://datosabiertos.jcyl.es/web/jcyl/binarios/654/971/Javier%20R%C3%ADos,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/654/971/Javier%20R%C3%ADos.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Auditorio de Sariegos 'Café Quijano';42.63452;-5.62339;1179297951684;Azadinos;24;León;Calle Profesor Rodriguez Ferri s/n;24121;;NO;1285614791509;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285614791509/Comunicacion;42.63452, -5.62339
